AppID	Name	Positive	Negative	Rating
620 	Portal 2 	119,746 	1,566 	97.27%
427520 	Factorio 	34,840 	508 	96.49%
292030 	The Witcher 3: Wild Hunt 	150,570 	3,556 	96.38%
10 	Counter-Strike 	109,810 	2,689 	96.17%
400 	Portal 	45,014 	926 	96.09%
250900 	The Binding of Isaac: Rebirth 	65,496 	1,576 	95.97%
105600 	Terraria 	217,728 	6,504 	95.95%
413150 	Stardew Valley 	87,703 	2,325 	95.89%
227300 	Euro Truck Simulator 2 	136,431 	4,082 	95.77%
550 	Left 4 Dead 2 	219,015 	7,031 	95.74%
264200 	One Finger Death Punch 	13,378 	216 	95.65%
219150 	Hotline Miami 	41,873 	1,051 	95.63%
48700 	Mount & Blade: Warband 	66,590 	1,869 	95.61%
238460 	BattleBlock Theater 	44,302 	1,151 	95.59%
213670 	South Park™: The Stick of Truth™ 	34,365 	845 	95.56%
698780 	Doki Doki Literature Club 	90,180 	2,778 	95.51%
219740 	Don't Starve 	56,384 	1,678 	95.38%
294100 	RimWorld 	23,220 	554 	95.37%
49520 	Borderlands 2 	123,610 	4,205 	95.35%
424280 	Iron Snout 	12,526 	236 	95.35%
250320 	The Wolf Among Us 	20,325 	489 	95.26%
205100 	Dishonored 	38,497 	1,132 	95.20%
253230 	A Hat in Time 	7,299 	116 	95.12%
319630 	Life is Strange™ 	107,208 	3,889 	95.09%
322330 	Don't Starve Together 	84,619 	2,995 	95.07%
420530 	OneShot 	7,355 	126 	95.02%
8930 	Sid Meier's Civilization V 	119,873 	4,519 	95.01%
207610 	The Walking Dead 	43,113 	1,388 	95.01%
206440 	To the Moon 	38,900 	1,230 	95.00%
220 	Half-Life 2 	59,218 	2,104 	94.88%
351640 	Eternal Senia 	9,186 	198 	94.84%
745880 	東方天空璋 ～ Hidden Star in Four Seasons. 	3,738 	41 	94.82%
212680 	FTL: Faster Than Light 	39,466 	1,339 	94.81%
4000 	Garry's Mod 	323,502 	14,437 	94.74%
214560 	Mark of the Ninja 	13,992 	380 	94.70%
221640 	Super Hexagon 	19,248 	584 	94.66%
312990 	The Expendabros 	14,232 	408 	94.58%
274190 	Broforce 	27,921 	955 	94.57%
204360 	Castle Crashers 	44,268 	1,662 	94.55%
206190 	Gunpoint 	10,017 	257 	94.55%
400910 	Rabi-Ribi 	5,479 	105 	94.54%
447530 	VA-11 Hall-A: Cyberpunk Bartender Action 	8,846 	217 	94.54%
337340 	Finding Paradise 	4,506 	77 	94.50%
341800 	Keep Talking and Nobody Explodes 	4,664 	84 	94.46%
203160 	Tomb Raider 	79,904 	3,368 	94.44%
107100 	Bastion 	26,011 	921 	94.42%
55230 	Saints Row: The Third 	41,145 	1,601 	94.39%
3590 	Plants vs. Zombies: Game of the Year 	11,896 	349 	94.38%
425580 	The Room Two 	5,717 	126 	94.33%
420110 	NEKOPARA Vol. 2 	8,019 	209 	94.31%
261570 	Ori and the Blind Forest 	24,763 	914 	94.26%
238320 	Outlast 	41,359 	1,699 	94.20%
288160 	The Room 	8,196 	226 	94.20%
247080 	Crypt of the NecroDancer 	12,635 	405 	94.19%
602520 	NEKOPARA Vol. 3 	6,452 	162 	94.19%
391540 	Undertale 	89,383 	4,118 	94.14%
240 	Counter-Strike: Source 	69,031 	3,144 	94.07%
268910 	Cuphead 	31,782 	1,297 	94.07%
620980 	Beat Saber 	1,742 	13 	94.06%
113200 	The Binding of Isaac 	42,384 	1,823 	94.04%
433950 	Bit Blaster XL 	4,680 	108 	94.02%
70 	Half-Life 	22,769 	890 	94.01%
8870 	BioShock Infinite 	72,727 	3,409 	93.98%
35140 	Batman: Arkham Asylum GOTY Edition 	18,138 	691 	93.94%
412830 	STEINS;GATE 	4,216 	96 	93.93%
22380 	Fallout: New Vegas 	57,252 	2,666 	93.89%
367580 	Hook 	5,941 	166 	93.85%
239030 	Papers, Please 	22,954 	949 	93.82%
435400 	Hidden Folks 	2,747 	49 	93.82%
1250 	Killing Floor 	51,872 	2,490 	93.71%
387290 	Ori and the Blind Forest: Definitive Edition 	11,729 	434 	93.70%
322170 	Geometry Dash 	46,268 	2,202 	93.69%
639790 	DEEP SPACE WAIFU 	5,273 	151 	93.67%
236090 	Dust: An Elysian Tail 	14,615 	576 	93.66%
250760 	Shovel Knight: Treasure Trove 	8,716 	301 	93.65%
339800 	HuniePop 	15,522 	625 	93.63%
555220 	Detention 	5,933 	181 	93.63%
261030 	The Walking Dead: Season Two 	20,415 	882 	93.58%
200260 	Batman: Arkham City GOTY 	23,627 	1,061 	93.53%
433340 	Slime Rancher 	18,589 	798 	93.53%
644560 	Mirror 	8,461 	302 	93.53%
35720 	Trine 2 	15,342 	636 	93.52%
413410 	Danganronpa: Trigger Happy Havoc 	4,401 	124 	93.51%
282070 	This War of Mine 	41,656 	2,050 	93.49%
9420 	Supreme Commander: Forged Alliance 	4,284 	122 	93.45%
411960 	TY the Tasmanian Tiger 	1,552 	20 	93.41%
597220 	West of Loathing 	2,171 	41 	93.41%
413420 	Danganronpa 2: Goodbye Despair 	3,599 	96 	93.40%
257510 	The Talos Principle 	14,943 	641 	93.38%
102600 	Orcs Must Die! 	5,087 	162 	93.35%
282140 	SOMA 	13,217 	562 	93.32%
418240 	Shadow Tactics: Blades of the Shogun 	6,875 	251 	93.26%
330830 	Tales from the Borderlands 	13,563 	590 	93.25%
499440 	klocki 	3,158 	84 	93.25%
223470 	POSTAL 2 	31,946 	1,616 	93.22%
239820 	Game Dev Tycoon 	25,303 	1,241 	93.21%
333600 	NEKOPARA Vol. 1 	14,468 	644 	93.21%
346010 	Besiege 	23,210 	1,126 	93.20%
70400 	Recettear: An Item Shop's Tale 	4,805 	159 	93.19%
324160 	CLANNAD 	1,609 	26 	93.19%
242680 	Nuclear Throne 	8,885 	357 	93.18%
266010 	LYNE 	6,767 	252 	93.18%
287980 	Mini Metro 	6,187 	225 	93.17%
304430 	INSIDE 	17,114 	799 	93.15%
260230 	Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™ 	14,262 	645 	93.14%
331470 	Everlasting Summer 	27,163 	1,380 	93.11%
312530 	Duck Game 	13,574 	614 	93.10%
246420 	Kingdom Rush 	4,667 	158 	93.09%
225080 	Brothers - A Tale of Two Sons 	29,942 	1,550 	93.08%
407900 	Princess Remedy in a World of Hurt 	2,049 	45 	93.06%
35700 	Trine 	8,665 	360 	93.05%
732430 	Superflight 	3,549 	109 	93.04%
201790 	Orcs Must Die! 2 	12,728 	580 	93.02%
12900 	Audiosurf 	8,819 	372 	93.01%
440 	Team Fortress 2 	477,273 	31,366 	92.99%
200510 	XCOM: Enemy Unknown 	35,395 	1,913 	92.99%
360740 	Downwell 	3,853 	125 	92.99%
237930 	Transistor 	20,546 	1,032 	92.98%
70300 	VVVVVV 	6,394 	251 	92.96%
504230 	Celeste 	1,955 	44 	92.95%
344770 	fault - milestone two side:above 	1,554 	29 	92.93%
405640 	Pony Island 	8,453 	361 	92.92%
231160 	The Swapper 	5,383 	204 	92.90%
72850 	The Elder Scrolls V: Skyrim 	229,219 	14,775 	92.89%
24980 	Mass Effect 2 	9,834 	440 	92.88%
13230 	Unreal Tournament 2004 	1,968 	47 	92.84%
40800 	Super Meat Boy 	22,828 	1,204 	92.83%
219890 	Antichamber 	11,650 	549 	92.82%
557600 	Gorogoa 	2,633 	76 	92.82%
646570 	Slay the Spire 	11,141 	520 	92.82%
552280 	Tayutama 2 -you're the only one- 	1,164 	17 	92.79%
204450 	Call of Juarez Gunslinger 	12,174 	587 	92.76%
578620 	GORN 	1,972 	49 	92.76%
4700 	Medieval II: Total War 	8,740 	398 	92.71%
18500 	Defense Grid: The Awakening 	3,128 	103 	92.70%
471710 	Rec Room 	2,461 	72 	92.70%
200710 	Torchlight II 	27,673 	1,549 	92.68%
588650 	Dead Cells 	15,192 	777 	92.68%
317400 	Portal Stories: Mel 	8,868 	410 	92.67%
615610 	Orbt XL 	1,556 	34 	92.66%
630 	Alien Swarm 	16,942 	894 	92.63%
368340 	CrossCode 	2,782 	89 	92.63%
221380 	Age of Empires II: HD Edition 	45,965 	2,774 	92.59%
388210 	Day of the Tentacle Remastered 	2,171 	62 	92.59%
495890 	Montaro 	9,015 	427 	92.59%
207690 	Botanicula 	3,236 	113 	92.58%
41700 	S.T.A.L.K.E.R.: Call of Pripyat 	8,316 	388 	92.57%
500 	Left 4 Dead 	15,197 	803 	92.54%
50130 	Mafia II 	27,944 	1,611 	92.54%
227000 	Primordia 	1,622 	39 	92.54%
282900 	Hyperdimension Neptunia Re;Birth1 	8,096 	379 	92.54%
362680 	Fran Bow 	3,948 	151 	92.53%
406150 	Refunct 	10,124 	499 	92.52%
434570 	Blood and Bacon 	14,601 	771 	92.51%
316720 	planetarian ~the reverie of a little planet~ 	1,386 	30 	92.49%
367520 	Hollow Knight 	20,679 	1,160 	92.48%
501300 	What Remains of Edith Finch 	6,526 	295 	92.47%
200900 	Cave Story+ 	4,879 	204 	92.46%
265890 	Hexcells 	3,219 	117 	92.45%
511470 	Glass Masquerade 	1,091 	19 	92.44%
245550 	Free to Play 	10,642 	542 	92.43%
335670 	LISA 	6,454 	294 	92.43%
217980 	Dishonored RHCP 	1,958 	57 	92.40%
420 	Half-Life 2: Episode Two 	12,191 	643 	92.38%
430960 	Lucy -The Eternity She Wished For- 	4,157 	170 	92.37%
13240 	Unreal Tournament: Game of the Year Edition 	1,875 	54 	92.36%
370360 	TIS-100 	2,251 	72 	92.35%
435150 	Divinity: Original Sin 2 	26,245 	1,560 	92.35%
519860 	DUSK 	1,126 	22 	92.32%
293780 	Crawl 	3,280 	126 	92.30%
339350 	Choice of Robots 	1,609 	43 	92.30%
450540 	Hot Dogs, Horseshoes & Hand Grenades 	1,695 	47 	92.30%
57300 	Amnesia: The Dark Descent 	18,263 	1,052 	92.27%
4500 	S.T.A.L.K.E.R.: Shadow of Chernobyl 	8,864 	453 	92.26%
218410 	Defender's Quest: Valley of the Forgotten 	2,556 	90 	92.25%
220200 	Kerbal Space Program 	45,299 	2,914 	92.25%
558990 	Opus Magnum 	1,127 	23 	92.25%
347620 	Gaokao.Love.100Days 	4,226 	180 	92.24%
359050 	Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad 	7,823 	393 	92.22%
7670 	BioShock 	18,894 	1,108 	92.21%
40970 	Stronghold Crusader HD 	3,584 	146 	92.21%
623080 	planetarian HD 	745 	9 	92.17%
22330 	The Elder Scrolls IV: Oblivion 	11,838 	656 	92.13%
304410 	Hexcells Infinite 	1,755 	54 	92.10%
236450 	PAC-MAN Championship Edition DX+ 	5,843 	283 	92.09%
373770 	LiEat 	2,152 	74 	92.09%
428550 	Momodora: Reverie Under the Moonlight 	4,456 	201 	92.09%
22320 	The Elder Scrolls III: Morrowind 	8,442 	448 	92.05%
220440 	DmC Devil May Cry 	12,635 	722 	92.04%
248310 	Freedom Planet 	3,377 	142 	92.03%
460120 	Megadimension Neptunia VII 	2,026 	69 	92.03%
48000 	LIMBO 	28,244 	1,812 	92.00%
245170 	Skullgirls 	12,976 	751 	92.00%
296470 	Mount Your Friends 	6,080 	304 	92.00%
212480 	Sonic & All-Stars Racing Transformed Collection 	9,731 	537 	91.99%
302380 	Floating Point 	3,187 	133 	91.99%
458710 	Kingdom Rush Frontiers 	1,877 	63 	91.97%
280220 	Creeper World 3: Arc Eternal 	2,074 	74 	91.93%
202170 	Sleeping Dogs™ 	14,577 	873 	91.92%
40700 	Machinarium 	4,406 	208 	91.90%
49600 	Beat Hazard 	6,048 	311 	91.88%
502800 	SENRAN KAGURA ESTIVAL VERSUS 	2,199 	82 	91.88%
353270 	Hyperdimension Neptunia Re;Birth3 V Generation 	2,278 	87 	91.85%
559210 	Rakuen 	1,139 	29 	91.85%
436820 	Waltz of the Wizard 	912 	19 	91.84%
327140 	Tilt Brush 	719 	11 	91.83%
333640 	Caves of Qud 	1,133 	29 	91.83%
3830 	Psychonauts 	7,491 	409 	91.82%
568770 	Cinderella Phenomenon 	1,521 	48 	91.82%
41050 	Serious Sam Classic: The First Encounter 	1,229 	34 	91.80%
248820 	Risk of Rain 	21,283 	1,378 	91.77%
286160 	Tabletop Simulator 	10,295 	605 	91.74%
47780 	Dead Space 2 	8,008 	452 	91.72%
429660 	Tales of Berseria 	5,293 	274 	91.72%
410320 	EARTH DEFENSE FORCE 4.1 The Shadow of New Despair 	3,143 	141 	91.71%
6910 	Deus Ex: Game of the Year Edition 	5,402 	283 	91.69%
265610 	Epic Battle Fantasy 4 	1,908 	71 	91.69%
398850 	Epistory - Typing Chronicles 	2,638 	112 	91.69%
504210 	SHENZHEN I/O 	1,297 	39 	91.69%
220780 	Thomas Was Alone 	7,326 	412 	91.66%
562220 	Zup! 2 	4,167 	207 	91.64%
78000 	Bejeweled 3 	2,394 	100 	91.62%
287390 	Metro: Last Light Redux 	17,017 	1,103 	91.62%
